r,H2O,HDO,D2O
23.75,0.002,-0.003,-0.006
23.80,0.001,-0.003,-0.007
23.85,-0.001,-0.002,-0.007
23.90,-0.001,-0.001,-0.006
23.95,0.002,-0.003,-0.006
24.00,0.004,-0.003,-0.005
24.05,0.004,-0.003,-0.006
24.10,0.004,-0.002,-0.005
24.15,0.001,-0.002,-0.005
24.20,0.003,-0.003,-0.004
24.25,0.002,-0.001,-0.006
24.30,0.003,0.000,-0.006
24.35,0.004,0.000,-0.005
24.40,0.003,0.000,-0.006
24.45,0.001,0.000,-0.005
24.50,0.004,-0.002,-0.005
24.55,0.002,-0.002,-0.005
24.60,0.003,-0.001,-0.004
24.65,0.005,0.001,-0.004
24.70,0.002,-0.002,-0.004
24.75,0.006,-0.003,-0.004
24.80,0.002,0.000,-0.004
24.85,0.001,-0.001,-0.005
24.90,0.003,0.001,-0.004
24.95,0.003,-0.002,-0.004
25.00,0.006,0.003,-0.003
25.05,0.004,0.003,-0.003
25.10,0.000,-0.001,-0.004
25.15,0.003,-0.002,-0.002
25.20,0.002,0.000,-0.002
25.25,0.003,0.001,-0.003
25.30,0.003,-0.002,-0.003
25.35,0.004,-0.002,-0.002
25.40,0.002,0.000,-0.002
25.45,0.001,0.002,-0.002
25.50,0.003,0.001,-0.001
25.55,0.004,-0.002,-0.001
25.60,0.002,-0.001,0.000
25.65,0.000,0.002,-0.001
25.70,0.000,0.003,0.001
25.75,-0.001,0.002,0.001
25.80,-0.001,0.002,0.000
25.85,0.000,0.001,0.000
25.90,-0.001,0.000,0.000
25.95,-0.004,-0.001,0.001
26.00,-0.001,0.000,0.002
26.05,0.003,0.001,0.002
26.10,0.000,0.000,0.001
26.15,-0.003,0.001,0.000
26.20,-0.002,0.003,0.001
26.25,0.001,0.001,0.000
26.30,0.001,-0.001,0.002
26.35,0.004,-0.001,0.002
26.40,0.003,-0.001,0.002
26.45,-0.002,-0.001,0.002
26.50,-0.001,0.001,0.003
26.55,0.000,0.001,0.004
26.60,0.003,0.005,0.002
26.65,0.002,0.000,0.002
26.70,0.000,-0.003,0.002
26.75,0.000,0.001,0.002
26.80,-0.001,-0.001,0.002
26.85,-0.002,-0.001,0.003
26.90,-0.002,0.002,0.003
26.95,0.001,0.001,0.003
27.00,0.003,0.002,0.003
27.05,0.001,0.001,0.005
27.10,-0.002,-0.001,0.004
27.15,-0.006,-0.001,0.004
27.20,-0.003,0.001,0.004
27.25,-0.001,0.002,0.003
27.30,-0.001,0.001,0.003
27.35,-0.003,0.001,0.005
27.40,0.000,0.002,0.004
27.45,-0.001,0.004,0.002
27.50,-0.001,0.004,0.003
27.55,-0.002,0.000,0.003
27.60,-0.005,-0.001,0.004
27.65,-0.002,0.002,0.005
27.70,-0.001,0.002,0.004
27.75,-0.001,0.001,0.003
27.80,-0.001,0.003,0.004
27.85,-0.002,0.002,0.002
27.90,-0.001,0.000,0.001
27.95,-0.001,0.000,0.003
28.00,-0.006,0.000,0.004
28.05,-0.006,0.001,0.004
28.10,-0.003,0.001,0.003
28.15,0.001,-0.002,0.002
28.20,-0.003,-0.002,0.001
28.25,-0.004,0.002,0.001
28.30,-0.002,0.003,0.001
28.35,-0.002,0.001,0.002
28.40,-0.004,0.000,0.002
28.45,-0.006,-0.001,0.001
28.50,-0.002,0.000,0.001
28.55,0.006,-0.001,0.001
28.60,0.005,-0.001,0.001
28.65,-0.002,0.000,0.001
28.70,0.001,0.001,0.001
28.75,0.002,0.001,0.001
28.80,0.003,0.003,0.001
28.85,0.000,0.000,0.001
28.90,-0.003,-0.002,0.001
28.95,-0.005,-0.003,0.001
29.00,0.001,0.000,-0.001
29.05,0.004,0.000,0.000
29.10,0.000,0.000,0.001
29.15,0.003,0.002,0.000
29.20,0.003,0.001,0.000
29.25,0.002,-0.001,0.001
29.30,0.001,-0.001,0.000
29.35,-0.002,-0.003,-0.001
29.40,-0.003,-0.003,-0.001
29.45,-0.001,0.000,0.000
29.50,-0.001,0.000,0.000
29.55,0.000,0.000,0.001
29.60,0.005,0.000,0.001
29.65,0.002,-0.001,-0.001
29.70,-0.001,-0.003,-0.001
29.75,0.000,-0.003,-0.001
29.80,0.000,-0.001,-0.003
29.85,0.001,-0.002,-0.003
29.90,-0.001,-0.004,-0.002
29.95,0.003,-0.002,-0.002
30.00,0.002,-0.001,-0.002
