POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
1,-1423.9536,-13606.0484,-2038.7856,1577.6328,-940.4929,-15030.002,-1401.6456999999998,-16431.6477
2,-1363.4391,-13691.5243,-1996.3827,1584.9943,-949.8374,-15054.963399999999,-1361.2258000000002,-16416.189199999997
3,-1424.2922,-13653.7537,-2014.9369,1582.1546,-944.5499,-15078.0459,-1377.3321999999998,-16455.378099999998
4,-1433.9559,-13788.0139,-1938.0931,1566.2455,-925.2824,-15221.969799999999,-1297.13,-16519.099799999996
5,-1438.1609,-13765.0104,-1921.0307,1569.4255,-922.2078,-15203.1713,-1273.813,-16476.9843
6,-1411.1092,-13659.4118,-2030.7854,1572.7944,-933.1084,-15070.521,-1391.0994,-16461.6204
7,-1438.8561,-13624.4713,-2088.3128,1569.2128,-926.6094,-15063.327399999998,-1445.7094000000002,-16509.036799999998
8,-1468.7628,-13648.1798,-2088.9799,1559.7723,-918.3053,-15116.9426,-1447.5128999999997,-16564.4555
9,-1433.6187,-13675.2886,-2032.8025,1565.6974,-929.0636,-15108.907299999999,-1396.1687,-16505.076
10,-1432.1053,-13753.1056,-1914.0207,1561.0291,-927.8535,-15185.2109,-1280.8451,-16466.056
11,-1443.5937,-13700.0242,-1980.2771,1562.56,-918.6567,-15143.6179,-1336.3738,-16479.991700000002
12,-1433.5072,-13748.9794,-1963.222,1559.1675,-919.0073,-15182.4866,-1323.0618,-16505.548400000003
13,-1439.5972,-13773.0783,-1933.0734,1559.0068,-919.8856,-15212.6755,-1293.9521999999997,-16506.6277
14,-1450.7665,-13818.6073,-1975.233,1546.5612,-917.7336,-15269.3738,-1346.4053999999999,-16615.779199999997
15,-1444.986,-13762.5578,-1995.8226,1554.2913,-917.4575,-15207.543800000001,-1358.9887999999999,-16566.532600000002
16,-1440.1816,-13648.4999,-2041.2807,1558.9218,-916.4746,-15088.6815,-1398.8335,-16487.515000000003
17,-1487.3087,-13690.715,-2029.3849,1565.929,-924.0045,-15178.0237,-1387.4604,-16565.484099999998
18,-1436.3042,-13695.8752,-2030.9524,1571.1501,-930.9933,-15132.1794,-1390.7956,-16522.975
19,-1409.7028,-13697.6392,-2074.6179,1580.2788,-940.7673,-15107.342,-1435.1064000000001,-16542.4484
20,-1431.7912,-13796.0433,-1891.8726,1567.956,-927.5562,-15227.834499999999,-1251.4728,-16479.3073
21,-1447.7881,-13700.663,-1959.0686,1575.0151,-933.5931,-15148.4511,-1317.6466,-16466.0977
22,-1436.6451,-13597.8315,-2090.638,1586.7142,-946.9467,-15034.4766,-1450.8705,-16485.3471
23,-1433.3016,-13639.6902,-2042.531,1566.3306,-933.9188,-15072.9918,-1410.1192,-16483.111
24,-1420.1655,-13810.605,-1936.7094,1575.7097,-942.4546,-15230.770499999999,-1303.4542999999999,-16534.2248
25,-1442.1935,-13546.7239,-2108.9847,1571.4241,-937.6351,-14988.9174,-1475.1957,-16464.1131
26,-1457.7638,-13629.7875,-2046.3937,1557.0838,-921.25,-15087.551300000001,-1410.5599,-16498.1112
27,-1483.3426,-13670.6149,-2005.8688,1570.0964,-937.305,-15153.9575,-1373.0774000000001,-16527.0349
28,-1457.1134,-13729.2029,-2020.1691,1565.9006,-923.3493,-15186.3163,-1377.6178,-16563.934100000002
29,-1493.5266,-13748.4876,-1992.1983,1557.9484,-915.6606,-15242.0142,-1349.9105,-16591.924700000003
